,date_time,latitude,longitude,swvht1
0,2020-12-10 01:00:00,-25.2251,-42.4434,1.56
1,2020-12-10 02:00:00,-25.2993,-42.4679,1.49
2,2020-12-10 03:00:00,-25.3756,-42.5071,1.53
3,2020-12-10 04:00:00,-25.4489,-42.5452,1.44
4,2020-12-10 05:00:00,-25.4655,-42.6012,1.54
5,2020-12-10 06:00:00,-25.4782,-42.6484,1.43
6,2020-12-10 07:00:00,-25.4803,-42.6517,1.33
7,2020-12-10 08:00:00,-25.5207,-42.7302,1.34
8,2020-12-10 10:00:00,-25.481,-42.7221,1.5
9,2020-12-10 11:00:00,-25.483,-42.7243,1.29
10,2020-12-10 12:00:00,-25.4856,-42.7283,1.27
11,2020-12-10 13:00:00,-25.5043,-42.7361,1.2
12,2020-12-10 15:00:00,-25.5129,-42.7399,1.2
13,2020-12-10 16:00:00,-25.5147,-42.7395,1.15
14,2020-12-10 17:00:00,-25.5154,-42.7389,1.14
15,2020-12-10 18:00:00,-25.5156,-42.7385,1.04
16,2020-12-10 19:00:00,-25.5152,-42.7384,1.04
17,2020-12-10 20:00:00,-25.5154,-42.7381,1.07
18,2020-12-10 21:00:00,-25.5153,-42.7381,1.1
19,2020-12-10 22:00:00,-25.5155,-42.7379,1.01
20,2020-12-10 23:00:00,-25.5161,-42.7376,1.05
21,2020-12-11 00:00:00,-25.5168,-42.7371,1.05
22,2020-12-11 01:00:00,-25.5177,-42.7363,1.02
23,2020-12-11 02:00:00,-25.5182,-42.7352,1.04
24,2020-12-11 03:00:00,-25.5184,-42.7348,1.09
25,2020-12-11 04:00:00,-25.5183,-42.7341,1.03
26,2020-12-11 05:00:00,-25.5181,-42.7333,1.11
27,2020-12-11 06:00:00,-25.5177,-42.7323,1.2
28,2020-12-11 07:00:00,-25.5168,-42.7311,1.32
29,2020-12-11 09:00:00,-25.5151,-42.7295,1.09
30,2020-12-11 10:00:00,-25.5146,-42.7293,1.21
31,2020-12-11 11:00:00,-25.5145,-42.7296,1.34
32,2020-12-11 13:00:00,-25.515,-42.7307,1.22
33,2020-12-11 14:00:00,-25.516,-42.7324,1.35
34,2020-12-11 15:00:00,-25.5169,-42.7343,1.21
35,2020-12-11 16:00:00,-25.517,-42.7356,1.21
36,2020-12-11 17:00:00,-25.5168,-42.7365,1.23
37,2020-12-11 18:00:00,-25.5167,-42.7367,1.16
38,2020-12-11 19:00:00,-25.5163,-42.7373,1.23
39,2020-12-11 20:00:00,-25.516,-42.7377,1.22
40,2020-12-11 21:00:00,-25.5159,-42.7381,1.32
41,2020-12-11 22:00:00,-25.5159,-42.7386,1.23
42,2020-12-11 23:00:00,-25.5163,-42.739,1.21
43,2020-12-12 00:00:00,-25.517,-42.7393,1.22
44,2020-12-12 01:00:00,-25.5183,-42.7388,1.25
45,2020-12-12 02:00:00,-25.5193,-42.7383,1.17
46,2020-12-12 03:00:00,-25.52,-42.7379,1.19
47,2020-12-12 04:00:00,-25.5204,-42.7371,1.22
48,2020-12-12 05:00:00,-25.5204,-42.736,1.15
49,2020-12-12 06:00:00,-25.5202,-42.7348,1.22
50,2020-12-12 07:00:00,-25.5196,-42.7335,1.25
51,2020-12-12 08:00:00,-25.5189,-42.7321,1.17
52,2020-12-12 09:00:00,-25.518,-42.7309,1.19
53,2020-12-12 10:00:00,-25.5168,-42.73,1.19
54,2020-12-12 11:00:00,-25.5164,-42.7295,1.16
55,2020-12-12 12:00:00,-25.5166,-42.7295,1.07
56,2020-12-12 13:00:00,-25.5172,-42.73,1.19
57,2020-12-12 14:00:00,-25.5173,-42.7303,1.18
58,2020-12-12 15:00:00,-25.5175,-42.7308,1.09
59,2020-12-12 16:00:00,-25.5174,-42.7316,1.23
60,2020-12-12 17:00:00,-25.5174,-42.7326,1.17
61,2020-12-12 18:00:00,-25.5173,-42.7336,1.21
62,2020-12-12 19:00:00,-25.5168,-42.7341,1.3
63,2020-12-12 20:00:00,-25.5161,-42.7346,1.28
64,2020-12-12 21:00:00,-25.5153,-42.7355,1.3
65,2020-12-12 22:00:00,-25.5142,-42.7361,1.32
66,2020-12-12 23:00:00,-25.5133,-42.7368,1.26
67,2020-12-13 00:00:00,-25.5133,-42.737,1.33
68,2020-12-13 01:00:00,-25.5141,-42.737,1.25
69,2020-12-13 02:00:00,-25.5151,-42.7371,1.21
70,2020-12-13 03:00:00,-25.5164,-42.7375,1.2
71,2020-12-13 04:00:00,-25.5177,-42.7377,1.25
72,2020-12-13 05:00:00,-25.5188,-42.7371,1.44
73,2020-12-13 06:00:00,-25.5195,-42.7363,1.39
74,2020-12-13 07:00:00,-25.5198,-42.7353,1.39
75,2020-12-13 08:00:00,-25.5196,-42.7343,1.45
76,2020-12-13 09:00:00,-25.5193,-42.7331,1.36
77,2020-12-13 10:00:00,-25.5188,-42.7321,1.42
78,2020-12-13 11:00:00,-25.5184,-42.7311,1.52
79,2020-12-13 12:00:00,-25.5182,-42.7303,1.55
80,2020-12-13 13:00:00,-25.518,-42.7299,1.52
81,2020-12-13 14:00:00,-25.518,-42.7299,1.43
82,2020-12-13 15:00:00,-25.5181,-42.73,1.39
83,2020-12-13 16:00:00,-25.5179,-42.7301,1.48
84,2020-12-13 17:00:00,-25.5175,-42.7299,1.48
85,2020-12-13 18:00:00,-25.517,-42.7297,1.53
86,2020-12-13 19:00:00,-25.5162,-42.7291,1.53
87,2020-12-13 20:00:00,-25.515,-42.7284,1.53
88,2020-12-13 21:00:00,-25.5131,-42.728,1.8
89,2020-12-13 22:00:00,-25.5115,-42.7276,1.71
90,2020-12-13 23:00:00,-25.5102,-42.7276,1.74
91,2020-12-14 00:00:00,-25.5094,-42.7277,2.04
92,2020-12-14 01:00:00,-25.5095,-42.7281,2.15
93,2020-12-14 02:00:00,-25.5112,-42.729,2.32
94,2020-12-14 03:00:00,-25.5131,-42.7301,2.5
95,2020-12-14 04:00:00,-25.5147,-42.7316,2.67
96,2020-12-14 05:00:00,-25.5161,-42.7327,2.61
97,2020-12-14 06:00:00,-25.517,-42.7336,2.8
98,2020-12-14 07:00:00,-25.5177,-42.7338,2.57
99,2020-12-14 08:00:00,-25.5179,-42.7332,2.6
100,2020-12-14 09:00:00,-25.5177,-42.732,2.56
101,2020-12-14 10:00:00,-25.5172,-42.7309,2.74
102,2020-12-14 11:00:00,-25.5165,-42.7295,2.61
103,2020-12-14 12:00:00,-25.5157,-42.7282,2.64
104,2020-12-14 13:00:00,-25.5151,-42.7273,2.42
105,2020-12-14 14:00:00,-25.5147,-42.7268,2.35
106,2020-12-14 15:00:00,-25.5145,-42.7267,2.55
107,2020-12-14 16:00:00,-25.5144,-42.7267,2.2
108,2020-12-14 17:00:00,-25.5142,-42.7269,2.21
109,2020-12-14 18:00:00,-25.5134,-42.7268,1.91
110,2020-12-14 19:00:00,-25.5122,-42.7268,1.95
111,2020-12-14 20:00:00,-25.5107,-42.7269,2.02
112,2020-12-14 21:00:00,-25.5092,-42.727,1.69
113,2020-12-14 22:00:00,-25.5078,-42.7272,1.84
114,2020-12-14 23:00:00,-25.5064,-42.7274,1.84
115,2020-12-15 00:00:00,-25.5056,-42.7274,1.68
116,2020-12-15 01:00:00,-25.5051,-42.7275,1.85
117,2020-12-15 02:00:00,-25.5053,-42.7278,1.71
118,2020-12-15 03:00:00,-25.5056,-42.7279,1.66
119,2020-12-15 04:00:00,-25.506,-42.7288,1.72
120,2020-12-15 05:00:00,-25.5069,-42.7292,1.67
121,2020-12-15 06:00:00,-25.5079,-42.7299,1.75
122,2020-12-15 07:00:00,-25.5088,-42.7317,1.66
123,2020-12-15 08:00:00,-25.5105,-42.7337,1.73
124,2020-12-15 09:00:00,-25.5115,-42.7339,1.85
125,2020-12-15 11:00:00,-25.5114,-42.7322,1.88
126,2020-12-15 12:00:00,-25.511,-42.7303,1.74
127,2020-12-15 13:00:00,-25.5103,-42.728,1.91
128,2020-12-15 14:00:00,-25.5095,-42.7266,1.98
129,2020-12-15 15:00:00,-25.5092,-42.7262,1.91
130,2020-12-15 16:00:00,-25.5093,-42.7259,1.99
131,2020-12-15 18:00:00,-25.5102,-42.7263,1.79
132,2020-12-15 19:00:00,-25.5108,-42.7267,1.72
133,2020-12-15 20:00:00,-25.5105,-42.7267,1.74
134,2020-12-15 21:00:00,-25.5095,-42.7265,1.76
135,2020-12-15 22:00:00,-25.5079,-42.7264,1.93
136,2020-12-15 23:00:00,-25.5064,-42.7265,1.59
137,2020-12-16 00:00:00,-25.5052,-42.7266,1.75
138,2020-12-16 01:00:00,-25.5043,-42.7266,1.74
139,2020-12-16 02:00:00,-25.5039,-42.7268,1.71
140,2020-12-16 03:00:00,-25.504,-42.7268,1.59
141,2020-12-16 04:00:00,-25.5041,-42.7271,1.51
142,2020-12-16 05:00:00,-25.5044,-42.7276,1.58
143,2020-12-16 06:00:00,-25.5046,-42.7284,1.67
144,2020-12-16 07:00:00,-25.5044,-42.7293,1.9
145,2020-12-16 08:00:00,-25.5043,-42.7297,1.9
146,2020-12-16 09:00:00,-25.5041,-42.7307,1.88
147,2020-12-16 10:00:00,-25.5044,-42.731,1.77
148,2020-12-16 11:00:00,-25.5049,-42.7311,1.91
149,2020-12-16 12:00:00,-25.5049,-42.7303,1.78
150,2020-12-16 13:00:00,-25.5049,-42.7281,1.78
151,2020-12-16 14:00:00,-25.505,-42.7267,1.78
152,2020-12-16 15:00:00,-25.5055,-42.7264,1.73
153,2020-12-16 16:00:00,-25.5063,-42.7263,1.92
154,2020-12-16 17:00:00,-25.5072,-42.7262,1.81
155,2020-12-16 18:00:00,-25.5081,-42.7264,1.77
156,2020-12-16 19:00:00,-25.509,-42.7266,1.7
157,2020-12-16 20:00:00,-25.5097,-42.7266,1.63
158,2020-12-16 21:00:00,-25.5093,-42.7262,1.53
159,2020-12-16 22:00:00,-25.5083,-42.7259,1.54
160,2020-12-16 23:00:00,-25.5073,-42.7258,1.4
161,2020-12-17 00:00:00,-25.5061,-42.7257,1.48
162,2020-12-17 01:00:00,-25.5052,-42.7257,1.63
163,2020-12-17 02:00:00,-25.5047,-42.7259,1.46
164,2020-12-17 03:00:00,-25.5043,-42.7262,1.59
165,2020-12-17 04:00:00,-25.504,-42.7264,1.49
166,2020-12-17 05:00:00,-25.5042,-42.7268,1.59
167,2020-12-17 06:00:00,-25.5045,-42.7272,1.6
168,2020-12-17 07:00:00,-25.5047,-42.7277,1.61
169,2020-12-17 08:00:00,-25.505,-42.728,1.54
170,2020-12-17 09:00:00,-25.5057,-42.728,1.6
171,2020-12-17 10:00:00,-25.5058,-42.7275,1.7
172,2020-12-17 11:00:00,-25.5061,-42.7267,1.77
173,2020-12-17 12:00:00,-25.506,-42.7261,1.87
174,2020-12-17 13:00:00,-25.5052,-42.7259,1.8
175,2020-12-17 14:00:00,-25.5047,-42.7262,1.77
176,2020-12-17 15:00:00,-25.5048,-42.7261,1.99
177,2020-12-17 17:00:00,-25.5068,-42.7256,2.1
178,2020-12-17 18:00:00,-25.5079,-42.7255,1.86
179,2020-12-17 19:00:00,-25.5088,-42.7254,1.99
180,2020-12-17 20:00:00,-25.5096,-42.7255,1.93
181,2020-12-17 21:00:00,-25.5102,-42.7254,1.93
182,2020-12-17 22:00:00,-25.5106,-42.7254,2.07
183,2020-12-17 23:00:00,-25.5105,-42.7251,2.18
184,2020-12-18 00:00:00,-25.5099,-42.7247,2.5
185,2020-12-18 01:00:00,-25.5089,-42.7244,2.31
186,2020-12-18 02:00:00,-25.5078,-42.7244,2.38
187,2020-12-18 03:00:00,-25.5068,-42.7247,2.38
188,2020-12-18 04:00:00,-25.5062,-42.7249,2.46
189,2020-12-18 05:00:00,-25.506,-42.725,2.28
190,2020-12-18 06:00:00,-25.5061,-42.7252,2.57
191,2020-12-18 07:00:00,-25.5062,-42.7254,2.56
192,2020-12-18 08:00:00,-25.5061,-42.7259,2.39
193,2020-12-18 09:00:00,-25.5058,-42.7263,2.49
194,2020-12-18 10:00:00,-25.5056,-42.7264,2.33
195,2020-12-18 11:00:00,-25.5051,-42.7263,2.62
196,2020-12-18 12:00:00,-25.5047,-42.7262,2.18
197,2020-12-18 13:00:00,-25.5043,-42.726,2.28
198,2020-12-18 14:00:00,-25.5039,-42.7262,2.37
199,2020-12-18 15:00:00,-25.5036,-42.7263,2.32
200,2020-12-18 16:00:00,-25.5035,-42.7265,2.41
201,2020-12-18 17:00:00,-25.5033,-42.7267,2.2
202,2020-12-18 18:00:00,-25.5033,-42.7269,2.11
203,2020-12-18 19:00:00,-25.5033,-42.7271,2.11
204,2020-12-18 20:00:00,-25.5037,-42.7272,2.07
205,2020-12-18 21:00:00,-25.5041,-42.727,2.08
206,2020-12-18 22:00:00,-25.5041,-42.7272,2.04
207,2020-12-18 23:00:00,-25.5041,-42.7272,2.16
208,2020-12-19 00:00:00,-25.5041,-42.7268,2.02
209,2020-12-19 01:00:00,-25.5041,-42.7264,2.1
210,2020-12-19 02:00:00,-25.5037,-42.7264,1.89
211,2020-12-19 03:00:00,-25.5033,-42.7267,1.86
212,2020-12-19 04:00:00,-25.5032,-42.7268,2.01
213,2020-12-19 05:00:00,-25.503,-42.727,2.04
214,2020-12-19 06:00:00,-25.5029,-42.7272,1.74
